epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.1891,1.18935,1.41345,1.22272,0.65794,0.59641,0.66917,0.50426,1.07299,1.03024,1.10804,8.33e-06,8.33e-06,8.33e-06
2,54.126,1.182,1.26633,1.22147,0.70507,0.60767,0.68247,0.50833,1.06296,0.998,1.10036,1.69664e-05,1.69664e-05,1.69664e-05
3,80.2495,1.24182,1.30516,1.26294,0.71598,0.62184,0.69211,0.51782,1.05774,0.98334,1.09736,2.46604e-05,2.46604e-05,2.46604e-05
4,106.58,1.12455,1.17732,1.22053,0.75741,0.60583,0.70555,0.52719,1.04717,0.96735,1.09048,3.14118e-05,3.14118e-05,3.14118e-05
5,132.838,1.15871,1.15115,1.21691,0.79815,0.6204,0.71688,0.5376,1.03521,0.9502,1.08437,3.72208e-05,3.72208e-05,3.72208e-05
6,158.721,1.0832,1.12863,1.18184,0.78409,0.63591,0.72781,0.55235,1.02601,0.93866,1.07462,4.20873e-05,4.20873e-05,4.20873e-05
7,184.851,1.18573,1.17363,1.21331,0.77258,0.64569,0.7338,0.55262,1.02156,0.91765,1.06888,4.60114e-05,4.60114e-05,4.60114e-05
8,210.706,1.10203,1.12635,1.18128,0.77797,0.65748,0.74312,0.56282,1.01779,0.89995,1.06255,4.89929e-05,4.89929e-05,4.89929e-05
9,236.66,1.06143,1.08482,1.17854,0.79523,0.66529,0.74809,0.57177,1.00801,0.88337,1.05577,5.1032e-05,5.1032e-05,5.1032e-05
10,262.169,1.11002,1.03879,1.15561,0.80337,0.67319,0.7512,0.57768,1.00102,0.8694,1.05277,5.21285e-05,5.21285e-05,5.21285e-05
11,287.988,1.07157,1.09778,1.13525,0.81366,0.67344,0.75457,0.58548,0.99263,0.85227,1.04545,5.22827e-05,5.22827e-05,5.22827e-05
12,313.293,1.06066,1.06588,1.12478,0.79947,0.68264,0.75734,0.58896,0.98834,0.83941,1.04076,5.14943e-05,5.14943e-05,5.14943e-05
13,339.048,1.04167,0.97753,1.10379,0.79017,0.68507,0.75662,0.58708,0.98375,0.83056,1.03988,4.8314e-05,4.8314e-05,4.8314e-05
14,364.81,1.04759,0.97311,1.10761,0.80635,0.67188,0.76005,0.59102,0.98091,0.82516,1.03806,4.24235e-05,4.24235e-05,4.24235e-05
15,389.964,1.05964,0.9741,1.09624,0.81619,0.65791,0.75788,0.58702,0.97789,0.81997,1.036,3.6533e-05,3.6533e-05,3.6533e-05
16,415.875,1.02013,0.92505,1.09948,0.80897,0.6754,0.7626,0.59079,0.97409,0.81531,1.03326,3.06425e-05,3.06425e-05,3.06425e-05
17,442.043,1.03811,0.94912,1.11303,0.79779,0.68628,0.7683,0.59386,0.97032,0.81017,1.03101,2.4752e-05,2.4752e-05,2.4752e-05
18,469.169,0.99636,0.8908,1.09273,0.77396,0.69132,0.76905,0.59535,0.96731,0.80551,1.029,1.88615e-05,1.88615e-05,1.88615e-05
19,499.03,1.02073,0.93712,1.09738,0.76893,0.68814,0.7684,0.59763,0.96598,0.80317,1.02803,1.2971e-05,1.2971e-05,1.2971e-05
20,528.094,0.98052,0.88492,1.08837,0.76696,0.68903,0.76792,0.59927,0.96423,0.80117,1.02663,7.0805e-06,7.0805e-06,7.0805e-06
